90	258电器大世界	1	110	11	68	10	10	1
90	3M净水器	1	12	0	null	0	1	0
90	823主题厨房	1	11	1	null	0	0	0
90	A.O.史密斯	2	13.5	0	36	1.5	0.5	0
90	A.O.史密斯家庭采暖	1	10	0	null	0	0	0
90	APOUS家居生活馆	1	12	9	null	0	2	0
90	Blueair空气净化器总代	1	38	2	null	0	2	0
90	CASA CALVIN	1	21	0	null	1	1	0
90	COMO科摩家居	1	20	5	null	0	1	0
90	Casa Pagoda	1	111	88	76	8	8	0
90	Cassina	1	18	1	null	0	0	0
90	DARA	1	27	26	68	3	0	0
90	DOMUS TIANDI	1	37	9	67	1	4	0
90	ECOH生态家	4	16.5	1.5	50.5	1.25	0.75	0
90	Emo+生活概念店	1	51	54	70	3	5	0
90	HOLA特力和乐	9	204.67	59.56	74.33	113	8.11	0
90	HOT&COOL	1	46	0	67	1	3	0
90	Haus658	1	18	7	69	1	0	0
90	Honeywell	2	26.5	0	32	0.5	1	0
90	IDEASKIN 顶级数码艺术装饰	1	14	1	70	1	0	0
90	JOOOI家居	1	40	10	null	0	4	0
90	JORYA_玖雅装饰装修设计	1	429	9	71	3	24	0
90	JUSE玖色家纺	1	35	0	67	1	0	0
90	KMKCasa国际家居	1	25	7	69	1	2	0
90	LEATHER EDITIONS	1	13	0	null	1	0	0
90	LOCK&LOCK	2	106.5	4.5	35.5	12	4	0
90	LULU厨房烘焙用品	1	44	13	null	0	1	0
90	Lagostina	1	12	0	null	1	2	0
90	M&D Milano Design	1	15	0	null	1	1	0
90	MENEST蜜巢	1	53	0	null	0	2	0
90	MM虹彩堂	1	31	11	73	4	3	0
90	MR.G厨房	1	24	0	null	0	3	0
90	My Vintage	1	132	30	69	1	3	0
90	ROSLE	1	23	1	70	1	4	0
90	RUG STAR	1	22	3	null	0	2	0
90	SC.CC 实创装饰集团	1	376	5	null	0	15	0
90	SIEGER	1	10	0	null	1	0	0
90	Sapphira索菲尔睡眠用品	1	10	0	70	1	0	0
90	Sinble森堡进口家居体验馆	1	14	1	null	0	0	0
90	Sky Creation 恺天室内装饰设计	1	2361	338	82	22	157	0
90	TAN’S	1	11	0	null	0	1	0
90	TATA木门	3	15.67	0.33	23	0.33	1	0
90	TOTO	1	19	0	68	2	0	0
90	TaoLiving整体家居	1	30	2	70	1	0	0
90	Uchino	1	11	1	70	1	0	0
90	WMF厨具	3	14.33	0.67	68.33	1.33	0.67	0
90	Wusthof	1	21	0	null	1	4	0
90	emoi基本生活	7	144.86	14.71	73.43	10.29	3.14	0
90	ochirly	1	12	0	67	1	2	0
90	osim	1	10	0	69	1	null	0
90	saintmrc尚玛可家纺	1	12	0	70	1	0	0
90	一伍一拾	4	77	16	77.25	16.25	5.25	0
90	一品和榻榻米	4	22	1.5	34.5	0.5	1.75	0
90	一园	1	12	0	67	1	0	0
90	一园户外休闲家具	1	11	2	null	0	1	0
90	一字眉间欧式美式家具定制	1	14	3	null	0	2	0
90	一屋窑茶具	1	30	2	67	2	1	0
90	一朵一果	1	166	264	81	131	8	0
90	一统国际家居	1	44	1	58	3	0	0
90	一统家居	2	24.5	1	31	1.5	2	0
90	一诺家纺	1	10	0	null	0	0	0
90	万人迷玻璃工坊	1	13	1	null	0	0	0
90	万兴国际	1	10	0	64	2	0	0
90	万家灯火装饰城	2	281	23	72.5	45.5	16	1
90	万方沙发	1	14	1	null	0	1	0
90	万饰杰地毯	1	18	1	70	1	1	0
90	三利家纺	1	11	1	67	2	0	0
90	三只小熊科技有限公司	1	17	0	null	0	1	0
90	上坐家居体验馆	2	15	5	33.5	1.5	0.5	0
90	上尚定制衣柜	1	21	5	69	1	0	0
90	上正装饰	1	14	0	70	1	0	0
90	上海张小泉刀剪总店	1	63	15	80	27	4	0
90	上艺软装设计公司	1	16	0	64	1	0	0
90	世嘉尚品家具城	1	12	0	null	0	1	1
90	业之峰装饰	4	45	1	48.25	1.75	2.75	0
90	东方家园	3	102.33	11	47.33	27	8.67	0
90	东方家园橱柜灯具城	1	36	3	null	0	0	1
90	东方百盛	2	16.5	1	67	1.5	1	0
90	东方百盛家具	2	24.5	0.5	105	2.5	1.5	0
90	东易日盛整体家居体验店	1	23	2	null	0	0	0
90	东易日盛装饰	3	139.67	10.67	111.67	2.33	7.33	0
90	东易日盛速美集屋家装	1	33	0	null	0	2	0
90	东盛家具	1	20	0	67	1	2	0
90	东郊大规模厨具城	1	10	0	null	0	1	1
90	东鹏瓷砖	1	18	1	69	2	0	0
90	中国电磁炉火锅桌展示中心	1	11	0	null	0	0	0
90	中至信家具	1	10	0	null	0	0	0
90	丰年陶坊	1	10	3	69	1	0	0
90	丽明创佳耀华玻璃钢化厂	1	10	1	null	0	2	1
90	丽维家橱柜	1	22	0	null	0	1	0
90	乐屋家装	1	34	1	null	0	3	0
90	乐屋快捷家装6S店	1	71	0	61	4	5	0
90	乐屋装饰	1	21	3	null	0	3	0
90	乐记水晶灯饰	1	11	1	70	1	0	0
90	乔山富士按摩椅专卖店	1	10	0	null	0	1	0
90	乔山跑步机	3	28.33	1.33	0	0	1.33	0
90	九牧卫浴	2	36.5	0.5	139.5	3	2.5	0
90	二华窗帘布艺	1	14	1	null	0	0	0
90	五里仓家具城	1	38	5	67	1	2	1
90	五金水暖电料	1	24	1	null	0	0	0
90	五金水暖电料灯具	1	17	0	null	0	2	0
90	亚光亚	1	220	1	null	0	11	0
90	亚光亚装饰	2	383	5.5	37.5	9	11	0
90	亚光亚装饰大钟寺分店	1	12	0	null	0	2	0
90	亚惠厨房	1	15	3	70	1	1	0
90	亚振家具	1	28	4	69	1	1	0
90	亚梭家俬	3	16	0	46.33	0.67	0.33	0
90	亦城名苑洗车装饰店	1	15	0	null	0	0	0
90	京兰	1	16	0	null	0	0	0
90	京兰之家	1	32	1	69	1	1	0
90	京城百工坊	1	117	70	82	32	8	0
90	京津集成材城	1	11	0	null	0	4	1
90	京深装饰	1	13	12	null	0	0	0
90	京瓷家具	1	38	1	67	1	1	0
90	京祥时代厨具中心	1	12	3	67	1	0	0
90	京都和室	1	11	0	61	2	1	0
90	京都轻纺城	1	20	8	null	0	2	1
90	京鹏玻璃	1	13	1	69	1	1	0
90	亮心堂	1	19	1	70	2	1	0
90	亿客隆家具城	1	131	7	69	19	7	1
