世贸天阶		2039761	1278	1469	5942	544645	221	45	271	5	8660,2633,3221,14121,4135,2371,3162,1440,6586,11,6,661,1217,4817,284,2229,347,663,1385,472,815,1326,11014,6669,4768,9549,4601,7612,5999,706,10094,19673,5138,22316,1797,22206,785,13701,15886,1533,11430,1724,1278,3542,1431,16634,1542,1333,1604,7199,4768,632,40,1529,123,6868,13791,6057,9723,10494,14131,5680,5691,3045,22597,11228,3116,16697,3922,16215,13627,6603,5091,939,14094,10363,7411,7850,541,3208,6014,4384,8270,2894,14790,14287,3408,7289,9316,329,209,49,3933,9900,4934,509,20525,21879,7286,12912,7129,14237,1617,11741,9938,21211,7096,8101,48,4307,3536,20784,11488,6835,363,2296,7,4974,16359,14977,611,1310,550,574,152,3953,21200,63,2920,9877,2723,3089,7576,12850,14596,13391,5840,9008,15271,8506,22808,16798,10218,10093,108,3421,2953,3677,3032,5108,2525,7684,2423,20461,2697,2035,2438,7591,17162,9883,597,10083,12396,4044,14774,5695,9953,357,12591,13592,13955,12154,6804,21809,551,564,2049,6168,798,16105,10804,4887,6718,6734,20142,17107,10815,20821,20447,22993,3579,6718,19284,49,22917,14568,13762,8751,3462,20973,18529,7081,2302,17377,8472,6039,3953,9559,11845,22065,11845,10194,10111,10047,10096,9989,9977,13243,5112,7556,5429,7544,17722,11177	87
东安市场		2892199	104	145	364	6082	687	35	54	5	18148,8660,3221,76,3481,604,1387,19136,5770,3332,4191,4173,4012,233,1166,3162,1440,284,904,8723,912,6586,1326,2229,681,2582,1385,3233,6213,605,1809,231,512,1053,967,426,2513,3123,2807,354,2428,1002,4276,663,1032,1707,1039,1047,3176,6270,6422,14639,3638,2066,18924,1930,343,8430,3466,17771,3343,16604,13500,3685,2549,13866,1675,1630,5117,2290,1817,865,14520,21761,11799,2845,14046,1265,8462,6121,13962,2606,8154,2081,5739,622,9863,694,12779,4482,6,21671,393,3399,18213,7770,15239,7402,266,17762,1759,461,18962,19123,9364,17724,5491,1459,15363,7956,1955,2031,310,9879,11123,9821,9682,4217,9497,14045,17332,12053,828,1981,900,7702,9861,18188,15568,9177,9801,50,14989,13333,3126,4096,73,4860,932,19353,485,9758,1281,14437,15991,21372,2744,2802,17217,887,660,5382,3432,6015,9275,4774,2056,83,3483,6533,23273,9776,1117,9973,13287,3278,6710,5586,4450,2539,2681,4912,2331,3114,2591,664,12334,4089,1418,1990,1520,3770,3755,3718,4051,1730,2880,3061,3072,1552,4974,209,10753,4658,1365,4434,16343,3087,2276,20461,2987,1475,4307,2697,8983,2993,11938,17080,1939,3536,2802,12311,12302,12036,8995,22295,2993,8982,1398,1193,363,17193,659,1719,344,7547,1296,14536,1964,7211,6513,4237,198,1169,8913,17168,15637,12705,5968,6872,12154,10885,6708,8553,16759,21493,3569,2463,2044,3650,110,4559,3979,4471,4478,4753,3518,2645,4675,399,2462,13850,10693,6662,13412,2344,1585,4494,3019,4810,21516,3031,968,1822,175,15419,1471,597,1351,374,2189,15008,7997,8356,3677,7506,1047,9072,1176,1142,11421,1295,1605,1957,1953,1987,1989,1978,2012,1694,1729,3442,3377,3778,2815,3710,580,425,1315,3682,3684,189,4123,4129,1,4080,4038,4047,4005,4002,3928,2777,128,2959,2344,636,3019,3025,3000,3005,3064,3048,1335,1358,112,741,3320,3197,3203,3207,3245,4919,4888,4828,1182,545,5185,5202,3253,2020,5471,5508,2680,17527,16728,17199,17386,6371,1445,3350,932,10003	77
东方新天地		1766230	600	742	2708	273221	677	45	147	5	18234,76,11195,1927,2371,2534,6,1530,4031,1440,4094,6,488,3739,11,1532,7365,512,143,4572,6,231,605,4817,1154,547,1613,1385,2258,12,2180,1120,3120,663,12296,3233,1974,10509,347,228,2590,1808,715,325,1322,815,3970,912,354,781,2445,8906,9002,5982,6669,8986,8388,1373,13650,3002,2066,1736,9376,11436,256,13608,3069,5984,1724,646,2899,35,1538,2418,1077,461,2988,1659,1431,3923,8866,4654,18924,1015,393,1529,6679,608,6065,8966,14014,7512,156,9289,21917,3685,3116,1281,639,11609,12063,939,2845,10620,14783,1806,11591,2606,1455,8717,13896,13784,14072,4871,5739,559,4313,8312,1955,4658,528,579,1630,552,8500,20410,22605,1520,3106,1944,4261,14266,15456,15191,4323,632,946,2078,19843,1121,393,18918,5877,6969,11735,2944,12213,4978,9318,5163,374,12805,9900,1116,248,7736,20877,2775,11715,2754,14660,11538,1326,2385,2020,9046,3205,5732,13691,7497,5579,10567,66,2752,5075,19209,1066,3483,828,590,8232,4555,1275,4320,14252,2627,14386,1981,11355,4551,17484,7902,6605,14638,19260,3155,11186,7902,1031,652,152,56,1003,7813,3598,19283,15991,5078,3404,584,1544,13067,16343,12072,362,5869,12089,13498,2802,3154,9684,4146,7439,8730,8392,17539,10182,23115,3949,3953,555,2098,5297,1459,865,22789,22630,2290,4200,7396,209,1271,4696,2701,357,17080,3650,8356,1332,19640,19584,332,13743,1694,1475,2276,9497,3076,4307,11046,789,7402,22693,17,7185,263,11909,13839,18316,410,12087,12066,4265,12139,13300,18167,2783,15287,1682,4237,2243,2548,6078,6302,14606,1070,5243,6337,11162,2067,5333,13154,1940,1885,3479,16915,7963,8593,8340,2402,612,1398,18730,14423,17567,3193,1950,13688,1646,83,17774,1195,2630,22796,3417,7646,22640,1539,487,14892,13165,14327,14025,363,1719,4914,7416,11835,7611,3146,1939,344,524,13580,8517,5627,17575,9316,1521,7865,2993,2035,2276,17021,11938,11938,17080,2744,3536,11909,2717,14584,11963,9212,3795,1939,2710,4434,7202,8013,5737,4974,16139,545,19654,404,14257,8240,5219,18535,12964,16384,1971,5746,170,1070,2932,3943,3342,4192,10,4138,3993,7796,22142,14416,22183,22520,3412,22621,22618,2802,1286,9970,18630,1544,22646,22411,20447,22425,22429,22867,1806,2370,13741,12119,21090,14008,16479,7672,15283,23379,13311,1552,6473,6343,7108,7082,7046,6975,6819,7298,7785,7866,7693,8238,8217,7897,7920,8528,8630,8305,8896,8746,8784,9059,9095,9115,9148,9176,9389,9433,9480,9350,606,6290,10128,8085,3566,12300,18595,2302,13325,21792,23196,15255,17025,5161,7639,831,4026,4023,3944,3950,734,3952,549,3925,815,5869,3953,15737,21577,22029,3250,4946,3353,3356,8382,15408,5832,4852	87
东方银座购物中心		1766410	345	334	1497	56685	179	35	61	5	8660,76,12986,3332,2371,4173,11258,6,1530,904,3162,912,1385,1047,512,715,681,663,325,4294,4294,967,2807,1380,2180,1471,3970,9002,6126,608,5525,4018,10612,10599,11800,1238,3999,1431,1670,18416,11242,1434,5197,3017,5819,18803,1227,461,3045,559,9579,11313,311,323,11526,393,17536,8314,2988,786,6004,1655,3336,9755,2627,9659,949,8868,7813,6523,4606,939,12924,633,725,10017,14457,7568,4674,23123,898,17858,773,8712,4909,3323,11180,11236,7,7312,4240,984,4317,828,1307,3416,14003,17112,145,11650,10886,12789,14192,3136,2651,1759,6138,8745,1057,17579,21548,14415,6533,11279,1993,801,6551,10361,9250,4852,16527,2487,3814,9758,22800,2084,23332,1469,1716,12486,12638,1757,5776,207,122,20389,9034,2846,2338,4585,20933,12313,13129,4604,14322,5586,18262,21519,7277,7952,10610,7579,10379,4955,513,15380,19213,20955,12645,3402,11650,117,3589,16486,17267,9865,14503,9670,16694,374,4042,9719,97,17829,363,13906,353,4029,13955,16851,12523,12561,12695,8058,14872,13407,1193,8027,1844,2929,6304,2964,6475,1619,7839,7795,909,5354,3129,21566,3471,8205,21010,1657,534,10718,12774,2232,2059,4803,1937,9211,22790,2464,18516,5685,2624,249,23094,9275,11567,4268,1070,14828,7724,8855,11372,3007,5513,12796,20901,21400,4231,1654,21626,4280,6080,1398,2302,13070,2966,18616,157,10669,11533,13019,3922,8782,122,9783,15224,21184,4368,4352,4355,4356,4338,4334,3130,2838,5349,7740,4121,874,21413,12048,6402,7218,7215,7902,5693,9529,9645,3584,2264,4280,11440,17891,22906,22865,23484,23171,21153,18405,20861,11142,6928,15791,2093,1592,8973,20132,18276,826,17823,18722,1982,272,6379,3956,862,6272,12453,1650,2680,1293,16070,8375,10365,12944,17531,20007,1229,34,4285,416,16117,10150,5296,3439,984,10601,3839,6677,6547,6563,6558,6564,6555,6556,1398,7202,10433,12983,2126,2434,1897,10371,12548,16682,4875,13188,21264,21264,10422,22114,9405,4426,12691,7458,1872,15992,16116,2854,10429,304,16485,23464,9563,11536,5610,1588,8282,19052,6934,17285,17267,19641,21285,18329,3136,5693,8279,14178,15965,18639,6293,3677,7742,649,22150	76
东环广场		3580657	73	75	289	5219	72	35	14	5	18232,9371,284,4817,2853,9104,13520,7187,13273,18365,21896,21829,590,19658,8843,21711,13518,14621,6693,6581,1544,5960,7675,10775,12764,20099,9506,7773,6082,21797,532,4740,7883,15410,20337,16617,14238,9265,14168,13798,1092,992,3455,13687,12603,22937,6086,21575,14490,369,20810,12764,503,6453,6823,6772,4237,8752,13591,5517,14037,14037,413,5168	70
中发百旺商城		1961659	33	41	169	18242	82	35	11	5	3465,1440,8789,1870,11018,14027,50,13855,1533,12459,10118,306,21201,13604,3416,1673,1823,8096,7396,16863,1680,6451,14985,767,1528,9690,19257,15521,4708,10640,3690,14365,11459,15087,523,10934,12180,2623,920,8090,159,3587,8102,10171,2740,7547,58,1545,1564,1561,5641,337,17857,21306,295,21114,17462,21223,13602,836,398,7113,222,1093,5913,4959,11230,6012,2592,5938,3047,6314,4340,854,18249,5913,17558,17692,17668,10964	70
中粮广场购物中心		1766419	75	82	325	15187		35	21	5	22208,6,681,284,231,4429,9376,8887,17294,3009,19808,16508,1869,15,6228,1003,18216,590,3396,22415,12438,19,126,8020,156,5335,17596,14914,6367,11694,2166,11354,13767,5218,2092,2717,15348,9294,7259,4519,23061,3220,5076,4237,14142,1018,8239,22879,22721,1345,369,21514,6525,7164,764,6986,6982,6881,7401,7519,7241,7258,7748,7811,7841,7593,7654,8123,8236,7889,8591,8626,8856,8916,8880,8799,9199,9113,9126,9469,9293,9336,9676,18742,17169,15636,13851,13874,8527,17698,17603,16659,14625,22502,250	70
丰联广场		1766239	92	112	435	52190	345	35	36	5	2074,1292,76,1073,2193,661,6,4031,1023,1322,843,2707,22957,7041,7438,17143,9002,10614,1265,6684,2845,10461,22900,21846,14318,4950,396,15185,13276,624,1241,760,750,12896,821,5054,11273,1723,9684,9344,7674,274,6957,12519,16930,16797,13902,14179,7672,2701,2136,2423,3021,828,2847,1822,16265,3146,8030,950,9427,11390,9838,13946,12122,7657,3592,7354,6004,19633,12718,21996,8336,3237,17727,4852,13902,945,14162,555,14705,14707,2701,11951,864,357,7051,430,3455,20350,14837,21751,5540,5363,18245,1658,3832,6337,6114,4931,5440,5387,408,980,953,1050,5459,2494,3273,3252,410,1276,3486,6662,7620,7652,2548,7635,9030,5049,23207,16842,23391,23064,19884,6162,6962,7834,3232,18217,3769	72
久隆百货	酒仙桥店	2351326	83	52	310	26020	302	35	12	5	3481,13023,347,912,325,1386,8789,2428,1245,19947,5386,49,844,11708,1693,16433,17791,523,487,2096,18325,18313,1334,18533,10654,12023,337,2740,1498,4288,945,2956,573,1549,14522,363,374,19770,17529,1070,370,20402,19393,12054,19637,1126,8804,1163,16703,16698,2353,258,4540,18568,7568,5894,20014,12925,21475,15101,1799,3965,1386,12454,19718,15215	74
五道口购物中心		3520807	268	330	1256	29748	168	40	49	5	1649,13464,2371,852,6,3162,16,2180,912,663,4094,1380,4303,8789,2807,228,347,1386,1047,7110,1525,4049,470,8813,966,4276,325,715,2513,470,368,354,6134,2028,4547,3638,2396,4847,458,706,1208,123,4018,13959,893,15788,16862,865,8436,22923,3685,1265,16291,5700,10494,10987,442,3046,939,3881,273,343,20787,393,4637,1334,1415,7022,1218,14573,461,8747,3260,3363,2454,18341,1425,1526,1759,282,1101,523,10494,13671,256,6145,1383,5491,22985,19770,152,118,2735,1414,17155,692,485,6014,1324,1655,10766,1981,7698,1759,4332,5656,5266,1576,1459,135,559,943,3440,5102,7325,1705,13095,5586,2341,18973,14,11392,12110,1512,8819,2020,945,1557,154,2740,2463,5460,691,1502,153,1498,14567,7416,16443,7317,1585,1818,37,39,13936,306,10970,10510,3216,33,157,8567,656,134,597,16055,16086,15376,8707,2828,506,1799,10588,1694,16702,10375,4863,374,1734,15006,4064,2055,12255,8571,15767,17,363,7547,10254,1549,1729,2934,10737,2084,23346,9420,20999,12771,14278,2462,2223,1552,1501,41,457,82,2100,13800,3969,1885,10650,8109,2032,16550,7825,10518,3691,8342,7398,874,1409,2966,18601,13876,1469,545,5482,5096,9942,1589,22870,2862,21609,21875,6197,11041,2552,16700,4341,4288,4030,19127,1799,1539	81
